                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.038,                 1.7505,                 1.1995,                0.79045,                 0.7545,                0.86873,                0.63506,                  0.812,                 1.9163,                0.89196,              0.0003125,              0.0003125,              0.0003125
                      2,                0.96684,                 1.1291,                 1.1195,                0.60857,                0.79965,                0.67766,                0.48003,                 1.0704,                 4.2454,                 1.1387,             0.00060594,             0.00060594,             0.00060594
                      3,                 1.0629,                 1.2376,                 1.1525,                0.45701,                0.71984,                0.61371,                0.41427,                 1.2281,                 5.1977,                 1.3522,             0.00086721,             0.00086721,             0.00086721
                      4,                  1.095,                  1.379,                 1.1827,                0.75904,                0.51708,                0.62377,                0.42809,                 1.1753,                 3.0747,                 1.2628,              0.0010644,              0.0010644,              0.0010644
                      5,                 1.1529,                 1.3622,                 1.2483,                0.20362,                 0.7377,                0.33597,                0.19753,                 1.3808,                 16.555,                 1.6485,              0.0010025,              0.0010025,              0.0010025
                      6,                 1.1408,                 1.0734,                 1.1654,                0.08164,                0.73222,                 0.0771,                0.04651,                 1.4349,                 70.958,                 1.8561,             0.00094062,             0.00094062,             0.00094062
                      7,                 1.0158,                0.92153,                 1.1334,                0.52942,                0.75796,                  0.552,                0.38269,                 1.0686,                 3.7739,                 1.1712,             0.00087875,             0.00087875,             0.00087875
                      8,                0.95672,                0.83263,                 1.0985,                0.68502,                0.78492,                 0.6898,                0.49228,                 1.1292,                 2.5407,                  1.223,             0.00081688,             0.00081688,             0.00081688
                      9,                0.99947,                0.83942,                 1.1543,                0.68093,                0.77683,                0.67881,                0.46645,                 1.1316,                 2.8305,                 1.1323,               0.000755,               0.000755,               0.000755
                     10,                0.92821,                 0.7334,                 1.0824,                0.56399,                0.82607,                0.66056,                0.44452,                 1.1616,                 2.2388,                 1.1692,             0.00069313,             0.00069313,             0.00069313
                     11,                0.87623,                0.80606,                 1.0179,                0.57052,                0.72201,                0.53298,                0.38663,                 1.0797,                 17.346,                 1.1047,             0.00063125,             0.00063125,             0.00063125
                     12,                 0.8506,                0.68868,                0.99644,                0.57521,                0.68244,                0.55907,                0.40235,                 1.0086,                 16.165,                 1.0596,             0.00056938,             0.00056938,             0.00056938
                     13,                0.83669,                0.64556,                0.98484,                0.61783,                0.82914,                0.65832,                0.48535,                0.97721,                 5.5908,                 1.0272,              0.0005075,              0.0005075,              0.0005075
                     14,                 0.7792,                0.60887,                0.97557,                0.70446,                0.87767,                0.76507,                0.58027,                0.96531,                 1.2585,                 1.0232,             0.00044563,             0.00044563,             0.00044563
                     15,                0.76853,                0.56705,                0.96682,                0.89776,                0.89314,                0.92675,                0.71726,                0.87761,                0.69748,                0.94349,             0.00038375,             0.00038375,             0.00038375
                     16,                0.75111,                0.55428,                0.94198,                0.88377,                0.89512,                0.92801,                0.73362,                0.85331,                0.65909,                0.92931,             0.00032188,             0.00032188,             0.00032188
                     17,                0.72681,                0.50783,                0.91852,                0.91934,                0.90216,                0.93258,                0.71909,                0.84405,                0.64881,                0.93879,                0.00026,                0.00026,                0.00026
                     18,                0.69442,                0.48832,                0.93044,                0.90471,                0.89875,                 0.9286,                 0.7341,                0.83768,                0.63198,                 0.9342,             0.00019813,             0.00019813,             0.00019813
                     19,                0.66235,                0.45748,                0.91494,                0.92642,                0.90986,                0.93651,                0.74801,                0.79152,                0.60478,                0.91577,             0.00013625,             0.00013625,             0.00013625
                     20,                0.64621,                0.45727,                0.90991,                0.92835,                 0.9091,                0.93935,                0.74934,                0.77273,                0.58216,                0.90669,             7.4375e-05,             7.4375e-05,             7.4375e-05
